relationship,index,mean,std,sem
friend,Center,0.16965696978454473,0.24930576148344438,0.00911552142744293
friend,Center-left,0.20335481103064734,0.25414374261336004,0.009361505079499502
friend,Center-right,0.25656400052256667,0.2622300252647144,0.00927123145476996
friend,Left,0.26868055307676775,0.2717008734601211,0.009816951598801027
friend,Right,0.315996349509517,0.2611869192052607,0.008819655588645219
follower,Center,0.5057289510712711,0.3198749074602271,0.03092347449719065
follower,Center-left,0.4635712196752412,0.2852405621952711,0.02220594765010578
follower,Center-right,0.4368139557635024,0.263264890054661,0.015276178318716633
follower,Left,0.4636611909297799,0.26537742094459876,0.01705910672033843
follower,Right,0.4366398206125788,0.23869672784528698,0.011717161534236454
