t_usr_id_ego,BreitbartNews,BreitbartNews,bot11,bot11,bot14,bot14,bot12,bot12,bot13,bot13,bot10,bot10,USATODAY,USATODAY,WSJ,WSJ,bot7,bot7,bot2,bot2,bot5,bot5,bot6,bot6,bot15,bot15,bot1,bot1,thenation,thenation,bot4,bot4,bot3,bot3,bot8,bot8,washingtonpost,washingtonpost,bot9,bot9
conn_type,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower
0,0.04918384795249982,,0.06783456974919343,0.8138717339737572,0.42151725890598224,0.7064204238004218,0.19374947883382485,0.06783456974919343,0.5061919589474342,0.5905129273413294,,0.6698271269837389,0.12588928944948308,,,,,0.9794591788597505,0.7064204238004218,,0.10827700665723966,0.045343501437382056,0.038503444945083086,0.09286695366967546,,,0.07945465272791494,,,,0.025471598156045747,,,0.5697317833219949,0.025471598156045747,,0.027677698437753848,,,
1,0.027677698437753848,,0.19374947883382485,0.12588928944948308,0.03265990956683609,0.42151725890598224,0.08592399976334196,0.23688377651035014,0.030068974042493608,0.10827700665723966,0.10030935716061677,0.22180647190550215,,,,,0.03265990956683609,0.1167953743919475,0.46359219069702307,0.7565854729457974,0.28621206238390096,,,0.15685510336103622,0.23688377651035014,0.4848645828256039,0.14589765727494236,0.44245148142042123,,,0.07945465272791494,0.1167953743919475,,0.4848645828256039,0.023437100509770627,,,,0.025471598156045747,
2,0.045343501437382056,,0.023437100509770627,0.23688377651035014,0.42151725890598224,0.19374947883382485,0.5905129273413294,0.5697317833219949,0.3412193545017134,0.22180647190550215,,0.32230602190830704,0.20742796687543463,,,,0.13558257714003935,0.07945465272791494,0.9567532288569174,0.8138717339737572,0.15685510336103622,0.03546593341354506,0.030068974042493608,0.16847316644464133,,0.23688377651035014,0.030068974042493608,0.027677698437753848,,,0.06783456974919343,0.3412193545017134,0.05780718298413593,,0.6698271269837389,0.380551857066998,,,0.03546593341354506,
3,0.027677698437753848,,0.06263387811083082,0.9112229533096339,0.10030935716061677,0.3039573320934062,0.04918384795249982,0.7719542327261165,0.32230602190830704,0.3412193545017134,0.023437100509770627,,,,0.027677698437753848,,0.36065190656573104,0.380551857066998,0.23688377651035014,0.19374947883382485,0.03265990956683609,0.15685510336103622,,0.3412193545017134,0.19374947883382485,0.19374947883382485,0.32230602190830704,0.22180647190550215,,0.9632891569033074,0.14589765727494236,0.04178983547133819,0.03265990956683609,0.22180647190550215,0.0215615093045025,0.14589765727494236,0.07343326191269153,,0.07945465272791494,0.9491151251673986
4,0.6506901031179089,,0.8138717339737572,0.4848645828256039,0.28621206238390096,0.15685510336103622,0.7719542327261165,0.5905129273413294,,0.7064204238004218,0.07945465272791494,0.7238002465135849,0.12588928944948308,,0.36065190656573104,,0.0215615093045025,,0.5061919589474342,0.16847316644464133,0.04918384795249982,0.3412193545017134,0.04918384795249982,0.07343326191269153,0.10827700665723966,0.6884177623265628,0.23688377651035014,0.42151725890598224,0.04178983547133819,0.380551857066998,0.07945465272791494,0.42151725890598224,0.6109757209767682,0.44245148142042123,0.04918384795249982,0.9757295961173048,0.09286695366967546,,0.826453203646374,0.8601677371481485
5,0.10030935716061677,,0.14589765727494236,,0.5905129273413294,0.5905129273413294,,0.07343326191269153,0.7565854729457974,0.5061919589474342,0.04918384795249982,0.20742796687543463,0.1807672693005155,,0.04178983547133819,,0.07343326191269153,,0.5487020083865324,0.9567532288569174,0.07945465272791494,0.14589765727494236,0.045343501437382056,0.16847316644464133,0.23688377651035014,0.46359219069702307,0.025471598156045747,0.22180647190550215,0.04918384795249982,,0.03265990956683609,,0.05780718298413593,0.36065190656573104,0.04178983547133819,0.8882184952163719,0.1807672693005155,,0.0215615093045025,0.14589765727494236
6,0.05780718298413593,,0.03546593341354506,0.6310548366819692,0.826453203646374,0.42151725890598224,0.04918384795249982,0.030068974042493608,0.46359219069702307,0.42151725890598224,0.20742796687543463,0.46359219069702307,0.07343326191269153,,0.04918384795249982,,0.0215615093045025,0.5697317833219949,0.7565854729457974,0.7238002465135849,0.06783456974919343,0.16847316644464133,0.36065190656573104,0.23688377651035014,,0.5905129273413294,0.027677698437753848,0.10030935716061677,0.05780718298413593,0.05333128056896264,0.2691022464970497,0.8383531326036774,0.03265990956683609,0.9040736566800007,0.07945465272791494,,0.06783456974919343,,0.42151725890598224,0.36065190656573104
7,0.023437100509770627,,0.07945465272791494,0.10030935716061677,0.04178983547133819,,0.030068974042493608,0.22180647190550215,0.04178983547133819,0.15685510336103622,0.03265990956683609,0.7238002465135849,0.030068974042493608,,0.05780718298413593,,0.01983296694956421,,0.10827700665723966,0.5905129273413294,0.14589765727494236,,0.030068974042493608,0.32230602190830704,0.380551857066998,0.380551857066998,0.08592399976334196,,0.03546593341354506,0.16847316644464133,0.030068974042493608,,0.07945465272791494,0.23688377651035014,0.027677698437753848,0.6310548366819692,0.06783456974919343,,0.018240414977142547,
8,0.025471598156045747,,0.28621206238390096,0.1807672693005155,0.04918384795249982,0.40086139116347386,0.15685510336103622,0.23688377651035014,0.045343501437382056,0.22180647190550215,0.023437100509770627,0.40086139116347386,0.1807672693005155,0.07945465272791494,0.03265990956683609,,0.10827700665723966,0.9112229533096339,0.08592399976334196,0.22180647190550215,0.07945465272791494,0.07945465272791494,0.10827700665723966,0.826453203646374,0.380551857066998,0.25265321740844954,0.03265990956683609,0.8005982245473489,0.8138717339737572,,0.030068974042493608,0.8005982245473489,0.04918384795249982,0.8964140695210783,0.04178983547133819,0.2691022464970497,0.03265990956683609,,0.04178983547133819,
