site,hoaxy_label,grinberg_label,pennycook_label,bovet_label,consensus_count
21stcenturywire.com,lowcredibility,Null,Null,Null,1
70news.wordpress.com,lowcredibility,Null,Null,Null,1
abcnews.com.co,lowcredibility,Black,Null,Null,2
activistpost.com,lowcredibility,Red,hyperpartisan,Null,3
addictinginfo.org,lowcredibility,Yellow,Null,Null,2
americannews.com,lowcredibility,Red,fakenews,Null,3
americannews.com,lowcredibility,Red,fakenews,Null,3
americannewsx.com,lowcredibility,Null,Null,Null,1
amplifyingglass.com,lowcredibility,Null,Null,Null,1
anonews.co,lowcredibility,Red,Null,Null,2
beforeitsnews.com,lowcredibility,Black,fakenews,Null,3
bigamericannews.com,lowcredibility,Null,Null,Null,1
bipartisanreport.com,lowcredibility,Red,hyperpartisan,extremeleft,4
bluenationreview.com,lowcredibility,Null,Null,extremeleft,2
breitbart.com,lowcredibility,Yellow,hyperpartisan,extremeright,4
burrardstreetjournal.com,lowcredibility,Black,Null,Null,2
callthecops.net,lowcredibility,Null,Null,Null,1
christiantimes.com,lowcredibility,Null,Null,Null,1
christwire.org,lowcredibility,Null,Null,Null,1
chronicle.su,lowcredibility,Null,Null,Null,1
civictribune.com,lowcredibility,Black,fakenews,Null,3
clickhole.com,lowcredibility,Null,Null,Null,1
coasttocoastam.com,lowcredibility,Null,Null,Null,1
collective-evolution.com,lowcredibility,Red,Null,Null,2
consciouslifenews.com,lowcredibility,Null,Null,Null,1
conservativeoutfitters.com,lowcredibility,Red,Null,Null,2
countdowntozerotime.com,lowcredibility,Null,Null,Null,1
counterpsyops.com,lowcredibility,Null,Null,Null,1
creambmp.com,lowcredibility,Null,Null,Null,1
dailybuzzlive.com,lowcredibility,Null,fakenews,Null,2
dailycurrant.com,lowcredibility,Black,Null,Null,2
dailynewsbin.com,lowcredibility,Orange,hyperpartisan,extremeleft,4
dcclothesline.com,lowcredibility,Red,Null,Null,2
demyx.com,lowcredibility,Null,Null,Null,1
denverguardian.com,lowcredibility,Black,Null,Null,2
derfmagazine.com,lowcredibility,Null,Null,Null,1
disclose.tv,lowcredibility,Black,Null,Null,2
duffelblog.com,lowcredibility,Null,Null,Null,1
duhprogressive.com,lowcredibility,Null,Null,Null,1
empireherald.com,lowcredibility,Black,fakenews,Null,3
empirenews.net,lowcredibility,Black,Null,Null,2
empiresports.co,lowcredibility,Black,Null,Null,2
en.mediamass.net,lowcredibility,Black,Null,Null,2
endingthefed.com,lowcredibility,Black,Null,extremeright,3
enduringvision.com,lowcredibility,Null,Null,Null,1
flyheight.com,lowcredibility,Null,Null,Null,1
fprnradio.com,lowcredibility,Null,Null,Null,1
freewoodpost.com,lowcredibility,Satire,Null,Null,2
geoengineeringwatch.org,lowcredibility,Null,Null,Null,1
globalassociatednews.com,lowcredibility,Black,Null,Null,2
globalresearch.ca,lowcredibility,Null,Null,Null,1
gomerblog.com,lowcredibility,Null,Null,Null,1
govtslaves.info,lowcredibility,Null,Null,Null,1
gulagbound.com,lowcredibility,Null,Null,Null,1
hangthebankers.com,lowcredibility,Null,Null,Null,1
humansarefree.com,lowcredibility,Null,Null,Null,1
huzlers.com,lowcredibility,Black,Null,Null,2
ifyouonlynews.com,lowcredibility,Null,Null,Null,1
infowars.com,lowcredibility,Red,hyperpartisan,fakenews,4
intellihub.com,lowcredibility,Null,Null,Null,1
itaglive.com,lowcredibility,Null,Null,Null,1
jonesreport.com,lowcredibility,Null,Null,Null,1
lewrockwell.com,lowcredibility,Null,Null,Null,1
liberalamerica.org,lowcredibility,Null,Null,Null,1
libertymovementradio.com,lowcredibility,Null,Null,Null,1
libertytalk.fm,lowcredibility,Null,Null,Null,1
libertyvideos.org,lowcredibility,Null,Null,Null,1
lightlybraisedturnip.com,lowcredibility,Null,Null,Null,1
nationalreport.net,lowcredibility,Black,Null,Null,2
naturalnews.com,lowcredibility,Red,Null,Null,2
ncscooper.com,lowcredibility,Black,Null,Null,2
newsbiscuit.com,lowcredibility,Black,Null,Null,2
newsexaminer.ne,lowcredibility,Null,Null,Null,1
newslo.com,lowcredibility,Black,Null,Null,2
newsmutiny.com,lowcredibility,Null,Null,Null,1
newswire-24.com,lowcredibility,Null,Null,Null,1
nodisinfo.com,lowcredibility,Null,Null,Null,1
now8news.com,lowcredibility,Black,fakenews,Null,3
nowtheendbegins.com,lowcredibility,Red,Null,Null,2
occupydemocrats.com,lowcredibility,Black,Null,extremeleft,3
other98.com,lowcredibility,Null,Null,Null,1
pakalertpress.com,lowcredibility,Null,Null,Null,1
politicalblindspot.com,lowcredibility,Null,Null,Null,1
politicalears.com,lowcredibility,Null,Null,Null,1
politicops.com,lowcredibility,Black,Null,Null,2
politicususa.com,lowcredibility,Null,Null,left,2
prisonplanet.com,lowcredibility,Null,Null,Null,1
react365.com,lowcredibility,Black,fakenews,Null,3
realfarmacy.com,lowcredibility,Null,Null,Null,1
realnewsrightnow.com,lowcredibility,Black,fakenews,Null,3
redflagnews.com,lowcredibility,Null,hyperpartisan,fakenews,3
redstate.com,lowcredibility,Null,hyperpartisan,right,3
rilenews.com,lowcredibility,Black,Null,Null,2
rockcitytimes.com,lowcredibility,Null,Null,Null,1
satiratribune.com,lowcredibility,Black,Null,Null,2
stuppid.com,lowcredibility,Black,Null,Null,2
theblaze.com,lowcredibility,Null,Null,right,2
thebostontribune.com,lowcredibility,Black,Null,Null,2
thedailysheeple.com,lowcredibility,Null,hyperpartisan,Null,2
thedcgazette.com,lowcredibility,Null,Null,Null,1
thefreethoughtproject.com,lowcredibility,Null,Null,Null,1
thelapine.ca,lowcredibility,Null,Null,Null,1
thenewsnerd.com,lowcredibility,Black,Null,Null,2
theonion.com,lowcredibility,Null,Null,Null,1
theracketreport.com,lowcredibility,Black,fakenews,Null,3
therundownlive.com,lowcredibility,Null,Null,Null,1
thespoof.com,lowcredibility,Null,Null,Null,1
theuspatriot.com,lowcredibility,Null,Null,Null,1
truthfrequencyradio.com,lowcredibility,Null,Null,Null,1
twitchy.com,lowcredibility,Null,Null,Null,1
unconfirmedsources.com,lowcredibility,Null,Null,Null,1
USAToday.com.co,lowcredibility,Null,Null,Null,1
usuncut.com,lowcredibility,Orange,hyperpartisan,extremeleft,4
veteranstoday.com,lowcredibility,Null,Null,Null,1
wakingupwisconsin.com,lowcredibility,Null,Null,Null,1
weeklyworldnews.com,lowcredibility,Null,Null,Null,1
wideawakeamerica.com,lowcredibility,Null,Null,Null,1
winningdemocrats.com,lowcredibility,Null,Null,Null,1
witscience.org,lowcredibility,Black,Null,Null,2
