date,bot11,bot14,bot12,bot13,bot10,bot7,bot2,bot5,bot6,bot15,bot1,bot4,bot3,bot8,bot9
2019-07-13,1.0,,1.0,3.0,,1.0,,,,1.0,,2.0,1.0,1.0,
2019-07-14,,1.0,,,1.0,,1.0,,,,,,,,1.0
2019-07-15,,,,,,,2.0,,,,,,,,
2019-07-16,,1.0,,,1.0,1.0,,2.0,,,,,1.0,,
2019-07-17,,,,,,,,,,,,1.0,,,1.0
2019-07-18,1.0,,,1.0,,2.0,1.0,,,,,,,,
2019-07-19,,,1.0,,,,1.0,10.0,,,,,,1.0,1.0
2019-07-20,1.0,14.0,8.0,17.0,4.0,5.0,12.0,10.0,,9.0,2.0,5.0,3.0,4.0,5.0
2019-07-21,1.0,13.0,11.0,18.0,4.0,5.0,12.0,11.0,,9.0,2.0,5.0,4.0,4.0,7.0
2019-07-22,1.0,17.0,13.0,23.0,4.0,7.0,11.0,11.0,,11.0,3.0,5.0,5.0,7.0,7.0
2019-07-23,1.0,19.0,13.0,26.0,4.0,7.0,12.0,12.0,,11.0,3.0,5.0,5.0,8.0,9.0
2019-07-24,5.0,21.0,12.0,27.0,4.0,7.0,13.0,14.0,,13.0,4.0,5.0,8.0,8.0,9.0
2019-07-25,5.0,23.0,12.0,27.0,4.0,8.0,13.0,13.0,,14.0,4.0,5.0,9.0,9.0,9.0
2019-07-26,5.0,25.0,13.0,31.0,4.0,7.0,12.0,13.0,,14.0,5.0,5.0,11.0,10.0,10.0
2019-07-27,5.0,26.0,12.0,34.0,4.0,8.0,14.0,14.0,,15.0,8.0,5.0,10.0,8.0,10.0
2019-07-28,5.0,29.0,13.0,36.0,4.0,8.0,15.0,17.0,,14.0,8.0,5.0,11.0,8.0,13.0
2019-07-29,5.0,34.0,15.0,40.0,5.0,8.0,15.0,18.0,,17.0,11.0,5.0,12.0,7.0,14.0
2019-07-30,4.0,35.0,17.0,44.0,5.0,8.0,16.0,20.0,,17.0,11.0,5.0,15.0,7.0,14.0
2019-07-31,5.0,36.0,20.0,47.0,5.0,8.0,16.0,22.0,,19.0,10.0,6.0,15.0,8.0,14.0
2019-08-01,6.0,34.0,25.0,51.0,6.0,8.0,16.0,26.0,1.0,23.0,9.0,6.0,16.0,8.0,14.0
2019-08-02,7.0,34.0,24.0,51.0,6.0,8.0,17.0,26.0,2.0,24.0,9.0,6.0,19.0,8.0,14.0
2019-08-03,9.0,35.0,17.0,55.0,6.0,8.0,17.0,26.0,2.0,24.0,10.0,5.0,21.0,10.0,14.0
2019-08-04,11.0,36.0,17.0,60.0,6.0,8.0,18.0,29.0,3.0,26.0,10.0,5.0,21.0,10.0,16.0
2019-08-05,12.0,39.0,17.0,59.0,7.0,10.0,19.0,32.0,3.0,25.0,11.0,5.0,21.0,9.0,15.0
2019-08-06,18.0,41.0,16.0,64.0,13.0,11.0,19.0,34.0,3.0,25.0,12.0,5.0,21.0,10.0,14.0
2019-08-07,17.0,44.0,16.0,66.0,13.0,12.0,19.0,35.0,3.0,26.0,14.0,5.0,23.0,11.0,18.0
2019-08-08,17.0,48.0,14.0,65.0,14.0,12.0,21.0,35.0,3.0,27.0,15.0,5.0,26.0,11.0,18.0
2019-08-09,19.0,52.0,14.0,71.0,16.0,13.0,22.0,36.0,3.0,29.0,15.0,5.0,27.0,10.0,18.0
