domain,avg_align
100percentfedup.com,0.856
10tv.com,-0.0984
11alive.com,0.0686
6abc.com,-0.5037
7online.com,-0.4067
800whistleblower.com,0.8268
9news.com,-0.032
aattp.org,-0.8936
abc11.com,-0.19
abc13.com,0.0097
abc7.com,-0.31
abc7chicago.com,-0.503
abc7ny.com,-0.4067
abcnews.go.com,-0.1605
ac2news.com,0.6857
aclj.org,0.9268
aclu.org,-0.7686
actionsprout.com,-0.6993
addictinginfo.org,-0.8894
advocate.com,-0.9276
againstcronycapitalism.org,0.6857
al.com,0.009
alan.com,-0.9009
algemeiner.com,0.4456
aljazeera.com,-0.5895
allenbwest.com,0.8918
allenwestrepublic.com,0.9423
alternativemediasyndicate.com,-0.5579
alternet.org,-0.8804
amazon.com,0.0362
america.aljazeera.com,-0.7362
americannews.com,0.8651
americanoverlook.com,0.8311
americanthinker.com,0.9112
americasfreedomfighters.com,0.8523
anonhq.com,-0.4102
aol.com,0.0133
armytimes.com,0.4171
atlantablackstar.com,-0.7055
attn.com,-0.7747
azcentral.com,-0.1731
azfamily.com,0.0439
baltimoresun.com,-0.1321
bangordailynews.com,-0.1732
barackobama.com,-0.8077
barenakedislam.com,0.8589
barracudabrigade.net,0.9381
battleforthenet.com,-0.5612
baynews9.com,0.0586
bbc.co.uk,-0.3313
bbc.com,-0.2609
bearingarms.com,0.77
beforeitsnews.com,0.5876
benswann.com,0.4846
bigstory.ap.org,-0.2022
billmoyers.com,-0.839
bizpacreview.com,0.9142
blackamericaweb.com,-0.7772
blogs.wsj.com,-0.0746
bloomberg.com,-0.1565
bloomberg.com/businessweek,-0.2615
bluenationreview.com,-0.8883
boingboing.net,-0.7779
bostonglobe.com,-0.4446
brainfall.com,-0.0483
breakingisraelnews.com,0.7086
breitbart.com,0.9136
briefly.today,-0.3198
businessinsider.com,-0.0585
businessweek.com,-0.2615
buzzfeed.com,-0.5242
buzzpo.com,0.976
c-span.org,-0.0442
caintv.com,0.934
capitalisminstitute.org,0.9044
catholicnewsagency.com,0.5209
cbsnews.com,-0.127
change.org,-0.3442
charismanews.com,0.871
chicago.cbslocal.com,-0.2568
chicagotribune.com,-0.3117
christiannews.net,0.807
christianpost.com,0.6722
clashdaily.com,0.9218
cleveland.com,-0.4428
click2houston.com,0.1329
clickondetroit.com,-0.3654
cnbc.com,0.0503
cnn.com,-0.2705
cnn.com/business,-0.2565
cnn.com/specials/videos/hln,-0.2211
cnsnews.com,0.89865
collective-evolution.com,-0.3014
commondreams.org,-0.9673
conservativebyte,0.9063
conservativeinfidel.com,0.9306
conservativeoutfitters.com,0.8686
conservativepost.com,0.8962
conservativerefocus.com,0.9457
conservativetribune.com,0.8866
controversialtimes.com,0.7836
countercurrentnews.com,-0.556
courant.com,-0.1968
crooksandliars.com,-0.9218
cruz.senate.gov,0.8733
d.shpg.org,-0.8971
dailycaller.com,0.8697
dailycurrant.com,-0.375
dailydot.com,-0.5961
dailykos.com,-0.8972
dailymail.co.uk,0.286
dailysignal.com,0.9319
dailysurge.com,0.9195
danielbarkeley.ai,-0.375
dcbeacon.com,0.8735
dcclothesline.com,0.8059
dcgazette.com,0.883
defund.com,0.8898
democracynow.org,-0.934
denverpost.com,-0.2012
dineshdsouza.com,0.937
downtrend.com,0.9136
duffelblog.com,0.5205
eaglerising.com,0.9018
earthweareone.com,-0.4698
economist.com,-0.3173
ecowatch.com,-0.8554
edition.cnn.com,-0.2615
egbertowillies.com,-0.8701
electronicintifada.net,-0.8074
elitedaily.com,-0.2558
empirenews.net,-0.0158
endtime.com,0.8043
endtimeheadlines.org,0.7572
examiner.com,0.3807
farrahgray.com,-0.7616
filmingcops.com,-0.389
